lore_type,leaked,U,B,G,N,lfi_original,lfi_uniform,lfi_reversed,lfi_doubled
WEAK,True,1,0,1,0,3,2,5,5
WEAK,True,1,0,1,0,3,2,5,5
WEAK,True,0,0,0,0,0,0,0,0
WEAK,True,1,0,1,0,3,2,5,5
WEAK,True,0,0,0,0,0,0,0,0
WEAK,False,0,0,0,0,0,0,0,0
WEAK,True,0,0,0,0,0,0,0,0
WEAK,False,0,0,0,0,0,0,0,0
WEAK,False,0,0,0,0,0,0,0,0
WEAK,False,0,0,0,0,0,0,0,0
WEAK,False,0,0,0,0,0,0,0,0
WEAK,False,0,0,0,0,0,0,0,0
WEAK,False,0,0,0,0,0,0,0,0
WEAK,True,2,0,1,0,4,3,8,6
WEAK,False,2,0,0,0,2,2,6,2
WEAK,False,0,0,0,0,0,0,0,0
STRONG,False,0,0,0,0,0,0,0,0
WEAK,True,1,0,0,0,1,1,3,1
STRONG,False,0,0,0,0,0,0,0,0
STRONG,False,0,0,0,0,0,0,0,0
WEAK,False,0,0,0,0,0,0,0,0
STRONG,False,0,0,0,0,0,0,0,0
STRONG,False,0,0,0,0,0,0,0,0
STRONG,False,0,0,0,0,0,0,0,0
STRONG,False,0,0,0,0,0,0,0,0
WEAK,False,0,0,0,0,0,0,0,0
STRONG,False,0,0,0,0,0,0,0,0
STRONG,False,0,0,0,0,0,0,0,0
STRONG,False,0,0,0,0,0,0,0,0
STRONG,False,0,0,0,0,0,0,0,0
STRONG,False,0,0,0,0,0,0,0,0
STRONG,False,0,0,0,0,0,0,0,0
STRONG,False,0,0,0,0,0,0,0,0
STRONG,False,0,0,0,0,0,0,0,0
STRONG,False,0,0,0,0,0,0,0,0
STRONG,False,0,0,0,0,0,0,0,0
STRONG,False,0,0,0,0,0,0,0,0
STRONG,False,0,0,0,0,0,0,0,0
WEAK,False,0,0,0,2,2,2,2,2
WEAK,False,0,1,0,0,3,1,1,6
STRONG,False,0,0,0,0,0,0,0,0
STRONG,False,0,0,0,0,0,0,0,0
STRONG,False,0,0,0,0,0,0,0,0
STRONG,False,0,0,0,0,0,0,0,0
STRONG,False,0,0,0,0,0,0,0,0
WEAK,False,1,2,0,0,7,3,5,13
WEAK,False,0,0,0,0,0,0,0,0
STRONG,False,0,0,0,0,0,0,0,0
OPTIMAL,False,0,0,0,0,0,0,0,0
OPTIMAL,False,0,0,0,4,4,4,4,4
OPTIMAL,False,0,0,0,2,2,2,2,2
OPTIMAL,False,0,0,0,0,0,0,0,0
OPTIMAL,False,0,0,0,2,2,2,2,2
OPTIMAL,False,1,1,0,0,4,2,4,7
OPTIMAL,False,0,0,0,2,2,2,2,2
